frequency,recency,T,monetary_value,exp_purchases_h365,exp_aov,exp_clv_h365,exp_clv_disc
6.0,196.0,360.0,47.14333333333334,5.810065168561217,109.17768350066315,634.3294560914037,628.0489664271323
1.0,37.0,39.0,711.79,inf,554.5758345099197,inf,inf
0.0,0.0,73.0,0.0,,422.3124833438367,,
2.0,182.0,224.0,801.31,3.5460894607983304,660.0294582028871,2340.52350554969,2317.3500054947426
0.0,0.0,10.0,0.0,,422.3124833438367,,
1.0,17.0,27.0,200.05,inf,320.7599302297755,inf,inf
0.0,0.0,43.0,0.0,,422.3124833438367,,
0.0,0.0,202.0,0.0,,422.3124833438367,,
2.0,44.0,59.0,1325.905,8.017146133993757,989.0689134648576,7929.510015838188,7851.000015681375
0.0,0.0,23.0,0.0,,422.3124833438367,,
2.0,356.0,366.0,644.59,2.39608952573113,561.7306497341522,1345.9569261101442,1332.6306199110338
5.0,309.0,369.0,360.534,4.863538223933644,372.39971264586495,1811.1802370350695,1793.2477594406628
4.0,276.0,290.0,368.2075,4.91665062919061,380.6021841948864,1871.2879683931085,1852.760364745652
2.0,220.0,317.0,106.075,2.698015365089318,223.96021301554057,604.2480958846052,598.2654414699061
0.0,0.0,373.0,0.0,0.7174394787472365,422.3124833438367,302.98364791865316,299.9838098204487
0.0,0.0,268.0,0.0,0.9390896891653616,422.3124833438367,396.5892987140155,392.66267199407474
0.0,0.0,263.0,0.0,0.9531116044653912,422.3124833438367,402.510928585608,398.5256718669386
2.0,228.0,276.0,721.415,3.0160083651992156,609.9172625507076,1839.5155659323405,1821.3025405270698
1.0,44.0,303.0,211.66,inf,326.06458229663065,inf,inf
1.0,236.0,280.0,1571.74,inf,947.4901794618681,inf,inf
1.0,49.0,308.0,325.15000000000003,inf,377.91858428348644,inf,inf
1.0,167.0,223.0,857.75,inf,621.2654999430105,inf,inf
1.0,28.0,52.0,70.6,inf,261.6137450399043,inf,inf
1.0,208.0,224.0,587.24,inf,497.66847749641295,inf,inf
0.0,0.0,197.0,0.0,,422.3124833438367,,
1.0,112.0,169.0,400.5,inf,412.34627879145705,inf,inf
3.0,197.0,297.0,1311.3966666666665,3.8338247403698325,1059.0942055287799,4060.3815675385686,4020.179769840167
0.0,0.0,14.0,0.0,,422.3124833438367,,
0.0,0.0,1.0,0.0,,422.3124833438367,,
0.0,0.0,50.0,0.0,,422.3124833438367,,
1.0,137.0,217.0,658.83,inf,530.378214056806,inf,inf
2.0,253.0,290.0,634.24,2.8993236375995846,555.2388639528135,1609.817162772332,1593.878378982507
3.0,198.0,297.0,533.38,3.8338247403698325,501.8614910326122,1924.0490005597214,1904.9990104551698
0.0,0.0,226.0,0.0,,422.3124833438367,,
1.0,46.0,63.0,513.05,inf,463.7707912914184,inf,inf
3.0,231.0,237.0,307.73333333333335,4.57858214624808,340.24836631333216,1557.8550952922994,1542.4307874181181
0.0,0.0,309.0,0.0,0.8379969690415544,422.3124833438367,353.89658103054705,350.3926544856902
2.0,259.0,279.0,323.83500000000004,2.990220596392817,360.5448769521902,1078.1087169863529,1067.4343732538148
0.0,0.0,49.0,0.0,,422.3124833438367,,
4.0,278.0,305.0,209.89999999999998,4.720957841259054,258.56068682374575,1220.6541019018891,1208.5684177246426
0.0,0.0,156.0,0.0,,422.3124833438367,,
0.0,0.0,317.0,0.0,0.820757114531133,422.3124833438367,346.6159752597645,343.1841339205589
2.0,298.0,332.0,1046.93,2.597808038243586,814.0886295664061,2114.845985730315,2093.9069165646683
2.0,113.0,133.0,629.06,5.12124463992576,551.9898349337473,2826.874983447958,2798.886122225701
3.0,145.0,200.0,1848.0466666666669,5.201713293095225,1443.4547842237973,7508.437939078826,7434.096969384977
0.0,0.0,137.0,0.0,,422.3124833438367,,
0.0,0.0,44.0,0.0,,422.3124833438367,,
2.0,137.0,174.0,349.585,4.2672351481144215,376.6959381956175,1607.4501476202768,1591.5347996240364
0.0,0.0,37.0,0.0,,422.3124833438367,,
0.0,0.0,98.0,0.0,,422.3124833438367,,
6.0,152.0,162.0,2869.516666666667,10.729112400706535,2464.870599059688,26445.873710508247,26184.033376740837
0.0,0.0,291.0,0.0,0.8795659991168377,422.3124833438367,371.45170135183463,367.7739617344897
10.0,323.0,368.0,285.871,9.023595522935924,300.36609586245237,2710.3821578661677,2683.5466909566017
2.0,217.0,265.0,504.34000000000003,3.1144931990948113,473.7622482044171,1475.5293000205252,1460.920099030223
1.0,28.0,48.0,180.1,inf,311.6447012260062,inf,inf
1.0,90.0,140.0,213.76,inf,327.0240800865011,inf,inf
10.0,327.0,356.0,435.32399999999996,9.276673363530831,433.9416991291446,4025.5354016366455,3985.6786154818274
1.0,78.0,100.0,464.28000000000003,inf,441.4875973809509,inf,inf
1.0,126.0,183.0,1132.53,inf,746.8135012290113,inf,inf
0.0,0.0,83.0,0.0,,422.3124833438367,,
0.0,0.0,297.0,0.0,0.8652588780283199,422.3124833438367,365.4096255154417,361.79170843113036
0.0,0.0,6.0,0.0,,422.3124833438367,,
2.0,181.0,181.0,1164.075,4.149106312966713,887.5649817746114,3682.6014690492257,3646.1400683655697
10.0,320.0,328.0,325.025,9.926259759995721,335.3605032701596,3328.875468702499,3295.9163056460384
4.0,110.0,111.0,1763.2475,9.729384277068318,1456.058309095071,14166.550819004266,14026.287939608184
0.0,0.0,16.0,0.0,,422.3124833438367,,
3.0,341.0,372.0,1696.0133333333335,3.1860222199115578,1334.5651541465916,4251.954235030734,4209.855678248251
18.0,342.0,372.0,397.42833333333334,15.520854194753422,398.9697876417823,6192.351902099839,6131.041487227563
1.0,43.0,360.0,76.52000000000001,inf,264.31861499992004,inf,inf
1.0,255.0,352.0,290.69,inf,362.17368245542184,inf,inf
0.0,0.0,1.0,0.0,,422.3124833438367,,
0.0,0.0,367.0,0.0,0.7272480463640635,422.3124833438367,307.12592846696134,304.08507769006076
0.0,0.0,55.0,0.0,,422.3124833438367,,
1.0,28.0,73.0,90.0,inf,270.4776770034694,inf,inf
2.0,75.0,109.0,170.95,5.800811621235568,264.651478963787,1535.193374750316,1519.9934403468476
1.0,66.0,164.0,1483.09,inf,906.9856656180511,inf,inf
3.0,26.0,56.0,2805.9733333333334,11.059819941393728,2129.5430129527435,23552.362280710437,23319.170574960826
3.0,276.0,356.0,592.2199999999999,3.305163438280379,544.0039981609357,1798.022124999871,1780.2199257424465
0.0,0.0,70.0,0.0,,422.3124833438367,,
1.0,60.0,122.0,449.48,inf,434.72542248091156,inf,inf
0.0,0.0,240.0,0.0,,422.3124833438367,,
0.0,0.0,91.0,0.0,,422.3124833438367,,
0.0,0.0,317.0,0.0,0.820757114531133,422.3124833438367,346.6159752597645,343.1841339205589
0.0,0.0,58.0,0.0,,422.3124833438367,,
2.0,156.0,317.0,1249.985,2.698015365089318,941.4499398881196,2540.0464032805617,2514.897428990655
1.0,14.0,171.0,1113.7,inf,738.2100043798396,inf,inf
0.0,0.0,324.0,0.0,0.8062438334110945,422.3124833438367,340.4868354684939,337.11567868167714
27.0,358.0,367.0,702.36,23.18290150269526,690.5510936419129,16008.977986478956,15850.47325393956
12.0,356.0,360.0,835.1708333333332,10.881094494779395,797.9614007008472,8682.693404212443,8596.726142784597
11.0,288.0,301.0,444.5418181818182,11.623949380344934,442.3739983080212,5142.132963513234,5091.220755953697
0.0,0.0,44.0,0.0,,422.3124833438367,,
7.0,105.0,136.0,866.75,13.82707007165345,802.2364674162616,11092.579849000378,10982.75232574295
2.0,224.0,258.0,2517.7,3.1805852471626506,1736.593341993418,5523.383163865149,5468.696201846682
2.0,108.0,142.0,865.6600000000001,4.9057292205823115,700.3914306694714,3435.9307072806764,3401.911591367006
5.0,242.0,242.0,759.0939999999999,6.8314842691216935,694.4088137541758,4743.842887501108,4696.874146040701
5.0,77.0,288.0,3450.728,5.958244887269946,2869.0641852228814,17094.587012853546,16925.33367609262
