frequency,recency,T,monetary_value
6.0,196.0,360.0,47.14333333333334
1.0,37.0,39.0,711.79
0.0,0.0,73.0,0.0
2.0,182.0,224.0,801.31
0.0,0.0,10.0,0.0
1.0,17.0,27.0,200.05
0.0,0.0,43.0,0.0
0.0,0.0,202.0,0.0
2.0,44.0,59.0,1325.905
0.0,0.0,23.0,0.0
2.0,356.0,366.0,644.59
5.0,309.0,369.0,360.534
4.0,276.0,290.0,368.2075
2.0,220.0,317.0,106.075
0.0,0.0,373.0,0.0
0.0,0.0,268.0,0.0
0.0,0.0,263.0,0.0
2.0,228.0,276.0,721.415
1.0,44.0,303.0,211.66
1.0,236.0,280.0,1571.74
1.0,49.0,308.0,325.15000000000003
1.0,167.0,223.0,857.75
1.0,28.0,52.0,70.6
1.0,208.0,224.0,587.24
0.0,0.0,197.0,0.0
1.0,112.0,169.0,400.5
3.0,197.0,297.0,1311.3966666666665
0.0,0.0,14.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,50.0,0.0
1.0,137.0,217.0,658.83
2.0,253.0,290.0,634.24
3.0,198.0,297.0,533.38
0.0,0.0,226.0,0.0
1.0,46.0,63.0,513.05
3.0,231.0,237.0,307.73333333333335
0.0,0.0,309.0,0.0
2.0,259.0,279.0,323.83500000000004
0.0,0.0,49.0,0.0
4.0,278.0,305.0,209.89999999999998
0.0,0.0,156.0,0.0
0.0,0.0,317.0,0.0
2.0,298.0,332.0,1046.93
2.0,113.0,133.0,629.06
3.0,145.0,200.0,1848.0466666666669
0.0,0.0,137.0,0.0
0.0,0.0,44.0,0.0
2.0,137.0,174.0,349.585
0.0,0.0,37.0,0.0
0.0,0.0,98.0,0.0
6.0,152.0,162.0,2869.516666666667
0.0,0.0,291.0,0.0
10.0,323.0,368.0,285.871
2.0,217.0,265.0,504.34000000000003
1.0,28.0,48.0,180.1
1.0,90.0,140.0,213.76
10.0,327.0,356.0,435.32399999999996
1.0,78.0,100.0,464.28000000000003
1.0,126.0,183.0,1132.53
0.0,0.0,83.0,0.0
0.0,0.0,297.0,0.0
0.0,0.0,6.0,0.0
2.0,181.0,181.0,1164.075
10.0,320.0,328.0,325.025
4.0,110.0,111.0,1763.2475
0.0,0.0,16.0,0.0
3.0,341.0,372.0,1696.0133333333335
18.0,342.0,372.0,397.42833333333334
1.0,43.0,360.0,76.52000000000001
1.0,255.0,352.0,290.69
0.0,0.0,1.0,0.0
0.0,0.0,367.0,0.0
0.0,0.0,55.0,0.0
1.0,28.0,73.0,90.0
2.0,75.0,109.0,170.95
1.0,66.0,164.0,1483.09
3.0,26.0,56.0,2805.9733333333334
3.0,276.0,356.0,592.2199999999999
0.0,0.0,70.0,0.0
1.0,60.0,122.0,449.48
0.0,0.0,240.0,0.0
0.0,0.0,91.0,0.0
0.0,0.0,317.0,0.0
0.0,0.0,58.0,0.0
2.0,156.0,317.0,1249.985
1.0,14.0,171.0,1113.7
0.0,0.0,324.0,0.0
27.0,358.0,367.0,702.36
12.0,356.0,360.0,835.1708333333332
11.0,288.0,301.0,444.5418181818182
0.0,0.0,44.0,0.0
7.0,105.0,136.0,866.75
2.0,224.0,258.0,2517.7
2.0,108.0,142.0,865.6600000000001
5.0,242.0,242.0,759.0939999999999
