n,cum_gain_revenue,profit,profit_per_contact
1,-0.0,-0.05,-0.05
2,0.0,-0.1,-0.05
3,0.0,-0.15000000000000002,-0.05000000000000001
4,0.0,-0.2,-0.05
5,0.0,-0.25,-0.05
6,0.0,-0.30000000000000004,-0.05000000000000001
7,0.0,-0.35000000000000003,-0.05
8,0.0,-0.4,-0.05
9,0.0,-0.45,-0.05
10,0.0,-0.5,-0.05
11,0.0,-0.55,-0.05
12,0.0,-0.6000000000000001,-0.05000000000000001
13,0.0,-0.65,-0.05
14,0.0,-0.7000000000000001,-0.05
15,0.0,-0.75,-0.05
16,0.0,-0.8,-0.05
17,0.0,-0.8500000000000001,-0.05
18,0.0,-0.9,-0.05
19,0.0,-0.9500000000000001,-0.05
20,0.0,-1.0,-0.05
21,0.0,-1.05,-0.05
22,0.0,-1.1,-0.05
23,0.0,-1.1500000000000001,-0.05
24,0.0,-1.2000000000000002,-0.05000000000000001
25,0.0,-1.25,-0.05
26,0.0,-1.3,-0.05
27,0.0,-1.35,-0.05
28,0.0,-1.4000000000000001,-0.05
29,0.0,-1.4500000000000002,-0.05
30,0.0,-1.5,-0.05
31,0.0,-1.55,-0.05
32,0.0,-1.6,-0.05
33,0.0,-1.6500000000000001,-0.05
34,0.0,-1.7000000000000002,-0.05
35,0.0,-1.75,-0.05
36,0.0,-1.8,-0.05
37,0.0,-1.85,-0.05
38,0.0,-1.9000000000000001,-0.05
39,0.0,-1.9500000000000002,-0.05
40,0.0,-2.0,-0.05
41,0.0,-2.0500000000000003,-0.05000000000000001
42,0.0,-2.1,-0.05
43,0.0,-2.15,-0.049999999999999996
44,0.0,-2.2,-0.05
45,0.0,-2.25,-0.05
46,0.0,-2.3000000000000003,-0.05
47,0.0,-2.35,-0.05
48,0.0,-2.4000000000000004,-0.05000000000000001
49,0.0,-2.45,-0.05
50,0.0,-2.5,-0.05
51,0.0,-2.5500000000000003,-0.05
52,0.0,-2.6,-0.05
53,0.0,-2.6500000000000004,-0.05000000000000001
54,0.0,-2.7,-0.05
55,0.0,-2.75,-0.05
56,0.0,-2.8000000000000003,-0.05
57,0.0,-2.85,-0.05
58,0.0,-2.9000000000000004,-0.05
59,0.0,-2.95,-0.05
60,0.0,-3.0,-0.05
61,0.0,-3.0500000000000003,-0.05
62,0.0,-3.1,-0.05
63,0.0,-3.1500000000000004,-0.05
64,0.0,-3.2,-0.05
65,0.0,-3.25,-0.05
66,0.0,-3.3000000000000003,-0.05
67,0.0,-3.35,-0.05
68,0.0,-3.4000000000000004,-0.05
69,0.0,-3.45,-0.05
70,0.0,-3.5,-0.05
71,0.0,-3.5500000000000003,-0.05
72,0.0,-3.6,-0.05
73,0.0,-3.6500000000000004,-0.05
74,0.0,-3.7,-0.05
75,0.0,-3.75,-0.05
76,0.0,-3.8000000000000003,-0.05
77,0.0,-3.85,-0.05
78,0.0,-3.9000000000000004,-0.05
79,0.0,-3.95,-0.05
80,0.0,-4.0,-0.05
81,0.0,-4.05,-0.049999999999999996
82,0.0,-4.1000000000000005,-0.05000000000000001
83,0.0,-4.15,-0.05
84,0.0,-4.2,-0.05
85,0.0,-4.25,-0.05
86,0.0,-4.3,-0.049999999999999996
87,0.0,-4.3500000000000005,-0.05
88,0.0,-4.4,-0.05
89,0.0,-4.45,-0.05
90,0.0,-4.5,-0.05
91,0.0,-4.55,-0.049999999999999996
92,0.0,-4.6000000000000005,-0.05
93,0.0,-4.65,-0.05
94,0.0,-4.7,-0.05
95,0.0,-4.75,-0.05
96,0.0,-4.800000000000001,-0.05000000000000001
97,0.0,-4.8500000000000005,-0.05
98,0.0,-4.9,-0.05
99,0.0,-4.95,-0.05
100,0.0,-5.0,-0.05
101,0.0,-5.050000000000001,-0.05000000000000001
102,0.0,-5.1000000000000005,-0.05
103,0.0,-5.15,-0.05
104,0.0,-5.2,-0.05
105,0.0,-5.25,-0.05
106,0.0,-5.300000000000001,-0.05000000000000001
107,0.0,-5.3500000000000005,-0.05
108,0.0,-5.4,-0.05
109,0.0,-5.45,-0.05
110,0.0,-5.5,-0.05
111,0.0,-5.550000000000001,-0.05000000000000001
112,0.0,-5.6000000000000005,-0.05
113,0.0,-5.65,-0.05
114,0.0,-5.7,-0.05
115,0.0,-5.75,-0.05
116,0.0,-5.800000000000001,-0.05
117,0.0,-5.8500000000000005,-0.05
118,0.0,-5.9,-0.05
119,0.0,-5.95,-0.05
120,0.0,-6.0,-0.05
121,0.0,-6.050000000000001,-0.05
122,0.0,-6.1000000000000005,-0.05
123,0.0,-6.15,-0.05
124,0.0,-6.2,-0.05
125,0.0,-6.25,-0.05
126,0.0,-6.300000000000001,-0.05
127,0.0,-6.3500000000000005,-0.05
128,0.0,-6.4,-0.05
129,0.0,-6.45,-0.05
130,0.0,-6.5,-0.05
131,0.0,-6.550000000000001,-0.05
132,0.0,-6.6000000000000005,-0.05
133,0.0,-6.65,-0.05
134,0.0,-6.7,-0.05
135,0.0,-6.75,-0.05
136,0.0,-6.800000000000001,-0.05
137,0.0,-6.8500000000000005,-0.05
138,0.0,-6.9,-0.05
139,0.0,-6.95,-0.05
140,0.0,-7.0,-0.05
141,0.0,-7.050000000000001,-0.05
142,0.0,-7.1000000000000005,-0.05
143,0.0,-7.15,-0.05
144,0.0,-7.2,-0.05
145,0.0,-7.25,-0.05
146,0.0,-7.300000000000001,-0.05
147,0.0,-7.3500000000000005,-0.05
148,0.0,-7.4,-0.05
149,0.0,-7.45,-0.05
150,0.0,-7.5,-0.05
151,0.0,-7.550000000000001,-0.05
152,0.0,-7.6000000000000005,-0.05
