margin_rate,email_cost,best_pct,profit_at_best
0.15,0.03,99.09,1053.04
0.15,0.05,99.09,735.94
0.15,0.07,33.97,512.71
0.15,0.1,25.92,367.03
0.15,0.15,25.92,159.68
0.2,0.03,99.09,1562.6
0.2,0.05,99.09,1245.5
0.2,0.07,99.09,928.4
0.2,0.1,33.97,647.38
0.2,0.15,25.92,420.26
0.25,0.03,99.09,2072.16
0.25,0.05,99.09,1755.06
0.25,0.07,99.09,1437.96
0.25,0.1,99.09,962.31
0.25,0.15,27.94,685.56
0.3,0.03,99.09,2581.72
0.3,0.05,99.09,2264.62
0.3,0.07,99.09,1947.52
0.3,0.1,99.09,1471.87
0.3,0.15,33.97,971.06
0.35,0.03,99.09,3091.28
0.35,0.05,99.09,2774.18
0.35,0.07,99.09,2457.08
0.35,0.1,99.09,1981.43
0.35,0.15,45.8,1269.86
